,Found,Truth
human4_lib1.final_cell_0190,3,alpha
human4_lib1.final_cell_0191,3,alpha
human4_lib1.final_cell_0195,3,alpha
human4_lib1.final_cell_0203,3,alpha
human4_lib1.final_cell_0207,3,alpha
human4_lib1.final_cell_0211,3,alpha
human4_lib1.final_cell_0214,3,alpha
human4_lib1.final_cell_0216,3,alpha
human4_lib1.final_cell_0228,3,alpha
human4_lib1.final_cell_0230,3,alpha
human4_lib1.final_cell_0232,3,alpha
human4_lib1.final_cell_0233,3,alpha
human4_lib1.final_cell_0248,3,alpha
human4_lib1.final_cell_0250,3,alpha
human4_lib1.final_cell_0254,3,alpha
human4_lib1.final_cell_0255,3,alpha
human4_lib1.final_cell_0258,3,alpha
human4_lib1.final_cell_0259,3,alpha
human4_lib1.final_cell_0263,3,alpha
human4_lib1.final_cell_0275,3,alpha
human4_lib1.final_cell_0279,3,alpha
human4_lib1.final_cell_0281,3,alpha
human4_lib1.final_cell_0284,3,alpha
human4_lib1.final_cell_0286,3,alpha
human4_lib1.final_cell_0289,3,alpha
human4_lib1.final_cell_0294,3,alpha
human4_lib1.final_cell_0296,3,alpha
human4_lib1.final_cell_0306,3,alpha
human4_lib1.final_cell_0308,3,alpha
human4_lib1.final_cell_0310,3,alpha
human4_lib1.final_cell_0314,3,alpha
human4_lib1.final_cell_0315,3,alpha
human4_lib1.final_cell_0320,3,alpha
human4_lib1.final_cell_0327,3,alpha
human4_lib1.final_cell_0332,3,alpha
human4_lib1.final_cell_0333,3,alpha
human4_lib1.final_cell_0335,3,alpha
human4_lib1.final_cell_0338,3,alpha
human4_lib1.final_cell_0341,3,alpha
human4_lib1.final_cell_0344,3,alpha
human4_lib1.final_cell_0345,3,alpha
human4_lib1.final_cell_0350,3,alpha
human4_lib1.final_cell_0353,3,alpha
human4_lib1.final_cell_0357,3,alpha
human4_lib1.final_cell_0363,3,alpha
human4_lib1.final_cell_0369,3,alpha
human4_lib1.final_cell_0370,3,alpha
human4_lib1.final_cell_0373,3,alpha
human4_lib1.final_cell_0376,3,alpha
human4_lib1.final_cell_0384,3,alpha
human4_lib1.final_cell_0386,3,alpha
human4_lib1.final_cell_0391,3,alpha
human4_lib1.final_cell_0392,3,alpha
human4_lib1.final_cell_0394,3,alpha
human4_lib1.final_cell_0408,3,alpha
human4_lib1.final_cell_0416,3,alpha
human4_lib1.final_cell_0421,3,alpha
human4_lib1.final_cell_0424,3,alpha
human4_lib1.final_cell_0428,3,alpha
human4_lib1.final_cell_0435,3,alpha
human4_lib1.final_cell_0441,3,alpha
human4_lib1.final_cell_0442,3,alpha
human4_lib1.final_cell_0443,3,alpha
human4_lib1.final_cell_0448,3,alpha
human4_lib1.final_cell_0457,3,alpha
human4_lib1.final_cell_0460,3,alpha
human4_lib1.final_cell_0472,3,alpha
human4_lib1.final_cell_0473,3,alpha
human4_lib1.final_cell_0477,3,alpha
human4_lib1.final_cell_0479,3,alpha
human4_lib1.final_cell_0480,3,alpha
human4_lib1.final_cell_0481,3,alpha
human4_lib1.final_cell_0483,3,alpha
human4_lib1.final_cell_0487,3,alpha
human4_lib1.final_cell_0498,3,alpha
human4_lib1.final_cell_0508,3,alpha
human4_lib1.final_cell_0511,3,alpha
human4_lib1.final_cell_0518,3,alpha
human4_lib1.final_cell_0519,3,alpha
human4_lib1.final_cell_0536,3,alpha
human4_lib1.final_cell_0541,3,alpha
human4_lib1.final_cell_0545,3,alpha
human4_lib1.final_cell_0547,3,alpha
human4_lib1.final_cell_0558,3,alpha
human4_lib1.final_cell_0560,3,alpha
human4_lib1.final_cell_0562,3,alpha
human4_lib1.final_cell_0569,3,alpha
human4_lib1.final_cell_0573,3,alpha
human4_lib1.final_cell_0574,3,alpha
human4_lib1.final_cell_0581,3,alpha
human4_lib1.final_cell_0588,3,alpha
human4_lib1.final_cell_0591,3,alpha
human4_lib1.final_cell_0593,3,alpha
human4_lib3.final_cell_0019,3,alpha
human4_lib3.final_cell_0032,3,alpha
human4_lib3.final_cell_0048,3,alpha
human4_lib3.final_cell_0060,3,alpha
human4_lib3.final_cell_0073,3,alpha
human4_lib3.final_cell_0082,3,alpha
human4_lib3.final_cell_0087,3,alpha
human4_lib3.final_cell_0088,3,alpha
human4_lib3.final_cell_0095,3,alpha
human4_lib3.final_cell_0098,3,alpha
human4_lib3.final_cell_0102,3,alpha
human4_lib3.final_cell_0109,3,alpha
human4_lib3.final_cell_0114,3,alpha
human4_lib3.final_cell_0118,3,alpha
human4_lib3.final_cell_0120,3,alpha
human4_lib3.final_cell_0124,3,alpha
human4_lib3.final_cell_0127,3,alpha
human4_lib3.final_cell_0128,3,alpha
human4_lib3.final_cell_0132,3,alpha
human4_lib3.final_cell_0133,3,alpha
human4_lib3.final_cell_0134,3,alpha
human4_lib3.final_cell_0147,3,alpha
human4_lib3.final_cell_0153,3,alpha
human4_lib3.final_cell_0163,3,alpha
human4_lib3.final_cell_0164,3,alpha
human4_lib3.final_cell_0170,3,alpha
human4_lib3.final_cell_0173,3,alpha
human4_lib3.final_cell_0175,3,alpha
human4_lib3.final_cell_0183,3,alpha
human4_lib3.final_cell_0184,3,alpha
human4_lib3.final_cell_0188,3,alpha
human4_lib3.final_cell_0193,3,alpha
human4_lib3.final_cell_0195,3,alpha
human4_lib3.final_cell_0205,3,alpha
human4_lib3.final_cell_0210,3,alpha
human4_lib3.final_cell_0212,3,alpha
human4_lib3.final_cell_0217,3,alpha
human4_lib3.final_cell_0226,3,alpha
human4_lib3.final_cell_0231,3,alpha
human4_lib3.final_cell_0238,3,alpha
human4_lib3.final_cell_0239,3,alpha
human4_lib3.final_cell_0240,3,alpha
human4_lib3.final_cell_0242,3,alpha
human4_lib3.final_cell_0243,3,alpha
human4_lib3.final_cell_0248,3,alpha
human4_lib3.final_cell_0256,3,alpha
human4_lib3.final_cell_0270,3,alpha
human4_lib3.final_cell_0272,3,alpha
human4_lib3.final_cell_0276,3,alpha
human4_lib3.final_cell_0279,3,alpha
human4_lib3.final_cell_0280,3,alpha
human4_lib3.final_cell_0281,3,alpha
human4_lib3.final_cell_0295,3,alpha
human4_lib3.final_cell_0304,3,alpha
human4_lib3.final_cell_0321,3,alpha
human4_lib3.final_cell_0324,3,alpha
human4_lib3.final_cell_0327,3,alpha
human4_lib3.final_cell_0329,3,alpha
human4_lib3.final_cell_0332,3,alpha
human4_lib3.final_cell_0333,3,alpha
human4_lib3.final_cell_0340,3,alpha
human4_lib3.final_cell_0343,3,alpha
human4_lib3.final_cell_0347,3,alpha
human4_lib3.final_cell_0355,3,alpha
human4_lib3.final_cell_0359,3,alpha
human4_lib3.final_cell_0360,3,alpha
human4_lib3.final_cell_0362,3,alpha
human4_lib3.final_cell_0363,3,alpha
human4_lib3.final_cell_0366,3,alpha
human4_lib3.final_cell_0369,3,alpha
human4_lib3.final_cell_0371,3,alpha
human4_lib3.final_cell_0375,3,alpha
human4_lib3.final_cell_0379,3,alpha
human4_lib3.final_cell_0382,3,alpha
human4_lib3.final_cell_0383,3,alpha
human4_lib3.final_cell_0386,3,alpha
human4_lib3.final_cell_0388,3,alpha
human4_lib3.final_cell_0399,3,alpha
human4_lib3.final_cell_0401,3,alpha
human4_lib3.final_cell_0404,3,alpha
human4_lib3.final_cell_0407,3,alpha
human4_lib3.final_cell_0408,3,alpha
human4_lib3.final_cell_0411,3,alpha
human4_lib3.final_cell_0422,3,alpha
human4_lib3.final_cell_0426,3,alpha
human4_lib3.final_cell_0433,3,alpha
human4_lib3.final_cell_0438,3,alpha
human4_lib3.final_cell_0445,3,alpha
human4_lib3.final_cell_0461,3,alpha
human4_lib3.final_cell_0468,3,alpha
human4_lib3.final_cell_0471,3,alpha
human4_lib3.final_cell_0474,3,alpha
human4_lib3.final_cell_0477,3,alpha
human4_lib3.final_cell_0482,3,alpha
human4_lib3.final_cell_0484,3,alpha
human4_lib3.final_cell_0485,3,alpha
human4_lib3.final_cell_0488,3,alpha
human4_lib3.final_cell_0495,3,alpha
human4_lib3.final_cell_0498,3,alpha
human4_lib3.final_cell_0501,3,alpha
human4_lib3.final_cell_0504,3,alpha
human4_lib3.final_cell_0509,3,alpha
human4_lib3.final_cell_0520,3,alpha
human4_lib3.final_cell_0521,3,alpha
human4_lib3.final_cell_0522,3,alpha
human4_lib3.final_cell_0523,3,alpha
human4_lib3.final_cell_0525,3,alpha
human4_lib3.final_cell_0526,3,alpha
human4_lib3.final_cell_0527,3,alpha
human4_lib3.final_cell_0528,3,alpha
human4_lib3.final_cell_0531,3,alpha
human4_lib3.final_cell_0532,3,alpha
human4_lib3.final_cell_0537,3,alpha
human4_lib3.final_cell_0538,3,alpha
human4_lib3.final_cell_0540,3,alpha
human4_lib3.final_cell_0541,3,alpha
human4_lib3.final_cell_0546,3,alpha
human4_lib3.final_cell_0558,3,alpha
human4_lib3.final_cell_0559,3,alpha
human4_lib3.final_cell_0560,3,alpha
human4_lib3.final_cell_0561,3,alpha
human4_lib3.final_cell_0563,3,alpha
human4_lib3.final_cell_0565,3,alpha
human4_lib3.final_cell_0573,3,alpha
human4_lib3.final_cell_0577,3,alpha
human4_lib3.final_cell_0578,3,alpha
human4_lib3.final_cell_0586,3,alpha
human4_lib3.final_cell_0588,3,alpha
human4_lib3.final_cell_0589,3,alpha
human4_lib3.final_cell_0596,3,alpha
human4_lib3.final_cell_0598,3,alpha
human4_lib3.final_cell_0603,3,alpha
human4_lib3.final_cell_0608,3,alpha
human4_lib3.final_cell_0614,3,alpha
human4_lib3.final_cell_0615,3,alpha
human4_lib3.final_cell_0616,3,alpha
human4_lib3.final_cell_0620,3,alpha
human4_lib3.final_cell_0629,3,alpha
human4_lib3.final_cell_0635,3,alpha
human4_lib3.final_cell_0640,3,alpha
human4_lib3.final_cell_0641,3,alpha
human4_lib3.final_cell_0645,3,alpha
human4_lib3.final_cell_0646,3,alpha
human4_lib3.final_cell_0647,3,alpha
human4_lib3.final_cell_0648,3,alpha
human4_lib3.final_cell_0649,3,alpha
human4_lib3.final_cell_0652,3,alpha
human4_lib3.final_cell_0658,3,alpha
human4_lib3.final_cell_0660,3,alpha
human4_lib3.final_cell_0671,3,alpha
human4_lib3.final_cell_0681,3,alpha
human4_lib3.final_cell_0682,3,alpha
human4_lib3.final_cell_0689,3,alpha
human4_lib3.final_cell_0694,3,alpha
human4_lib3.final_cell_0698,3,alpha
human4_lib3.final_cell_0628,3,ductal
human4_lib3.final_cell_0642,3,ductal
human4_lib1.final_cell_0326,3,epsilon
human4_lib3.final_cell_0662,3,mast
human4_lib1.final_cell_0568,3,t_cell
human4_lib1.final_cell_0016,4,activated_stellate
human4_lib1.final_cell_0030,4,activated_stellate
human4_lib1.final_cell_0066,4,activated_stellate
human4_lib1.final_cell_0070,4,activated_stellate
human4_lib1.final_cell_0071,4,activated_stellate
human4_lib1.final_cell_0073,4,activated_stellate
human4_lib1.final_cell_0082,4,activated_stellate
human4_lib1.final_cell_0128,4,activated_stellate
human4_lib1.final_cell_0213,4,activated_stellate
human4_lib1.final_cell_0235,4,activated_stellate
human4_lib1.final_cell_0309,4,activated_stellate
human4_lib1.final_cell_0323,4,activated_stellate
human4_lib1.final_cell_0354,4,activated_stellate
human4_lib1.final_cell_0367,4,activated_stellate
human4_lib1.final_cell_0371,4,activated_stellate
human4_lib1.final_cell_0400,4,activated_stellate
human4_lib1.final_cell_0440,4,activated_stellate
human4_lib1.final_cell_0447,4,activated_stellate
human4_lib1.final_cell_0471,4,activated_stellate
human4_lib1.final_cell_0493,4,activated_stellate
human4_lib1.final_cell_0495,4,activated_stellate
human4_lib1.final_cell_0506,4,activated_stellate
human4_lib1.final_cell_0548,4,activated_stellate
human4_lib1.final_cell_0549,4,activated_stellate
human4_lib1.final_cell_0594,4,activated_stellate
human4_lib3.final_cell_0023,4,activated_stellate
human4_lib3.final_cell_0059,4,activated_stellate
human4_lib3.final_cell_0072,4,activated_stellate
human4_lib3.final_cell_0090,4,activated_stellate
human4_lib3.final_cell_0122,4,activated_stellate
human4_lib3.final_cell_0206,4,activated_stellate
human4_lib3.final_cell_0211,4,activated_stellate
human4_lib3.final_cell_0230,4,activated_stellate
human4_lib3.final_cell_0260,4,activated_stellate
human4_lib3.final_cell_0264,4,activated_stellate
human4_lib3.final_cell_0287,4,activated_stellate
human4_lib3.final_cell_0308,4,activated_stellate
human4_lib3.final_cell_0376,4,activated_stellate
human4_lib3.final_cell_0384,4,activated_stellate
human4_lib3.final_cell_0385,4,activated_stellate
human4_lib3.final_cell_0396,4,activated_stellate
human4_lib3.final_cell_0435,4,activated_stellate
human4_lib3.final_cell_0442,4,activated_stellate
human4_lib3.final_cell_0459,4,activated_stellate
human4_lib3.final_cell_0469,4,activated_stellate
human4_lib3.final_cell_0524,4,activated_stellate
human4_lib3.final_cell_0590,4,activated_stellate
human4_lib3.final_cell_0600,4,activated_stellate
human4_lib3.final_cell_0644,4,activated_stellate
human4_lib3.final_cell_0654,4,activated_stellate
human4_lib3.final_cell_0686,4,activated_stellate
human4_lib3.final_cell_0697,4,activated_stellate
human4_lib1.final_cell_0361,4,endothelial
human4_lib1.final_cell_0425,4,endothelial
human4_lib1.final_cell_0485,4,endothelial
human4_lib1.final_cell_0572,4,endothelial
human4_lib3.final_cell_0427,4,endothelial
human4_lib3.final_cell_0497,4,endothelial
human4_lib3.final_cell_0604,4,endothelial
human4_lib1.final_cell_0077,4,quiescent_stellate
human4_lib1.final_cell_0450,4,quiescent_stellate
human4_lib1.final_cell_0578,4,quiescent_stellate
human4_lib3.final_cell_0119,4,quiescent_stellate
human4_lib3.final_cell_0683,4,quiescent_stellate
human4_lib3.final_cell_0670,4,schwann
human4_lib1.final_cell_0115,5,acinar
human4_lib3.final_cell_0292,5,acinar
human4_lib3.final_cell_0097,5,beta
human4_lib3.final_cell_0136,5,beta
human4_lib1.final_cell_0001,5,ductal
human4_lib1.final_cell_0004,5,ductal
human4_lib1.final_cell_0005,5,ductal
human4_lib1.final_cell_0006,5,ductal
human4_lib1.final_cell_0007,5,ductal
human4_lib1.final_cell_0009,5,ductal
human4_lib1.final_cell_0010,5,ductal
human4_lib1.final_cell_0012,5,ductal
human4_lib1.final_cell_0013,5,ductal
human4_lib1.final_cell_0014,5,ductal
human4_lib1.final_cell_0018,5,ductal
human4_lib1.final_cell_0019,5,ductal
human4_lib1.final_cell_0023,5,ductal
human4_lib1.final_cell_0029,5,ductal
human4_lib1.final_cell_0031,5,ductal
human4_lib1.final_cell_0032,5,ductal
human4_lib1.final_cell_0033,5,ductal
human4_lib1.final_cell_0040,5,ductal
human4_lib1.final_cell_0044,5,ductal
human4_lib1.final_cell_0045,5,ductal
human4_lib1.final_cell_0052,5,ductal
human4_lib1.final_cell_0054,5,ductal
human4_lib1.final_cell_0060,5,ductal
human4_lib1.final_cell_0062,5,ductal
human4_lib1.final_cell_0064,5,ductal
human4_lib1.final_cell_0065,5,ductal
human4_lib1.final_cell_0076,5,ductal
human4_lib1.final_cell_0079,5,ductal
human4_lib1.final_cell_0092,5,ductal
human4_lib1.final_cell_0098,5,ductal
human4_lib1.final_cell_0099,5,ductal
human4_lib1.final_cell_0101,5,ductal
human4_lib1.final_cell_0111,5,ductal
human4_lib1.final_cell_0116,5,ductal
human4_lib1.final_cell_0118,5,ductal
human4_lib1.final_cell_0119,5,ductal
human4_lib1.final_cell_0127,5,ductal
human4_lib1.final_cell_0131,5,ductal
human4_lib1.final_cell_0133,5,ductal
human4_lib1.final_cell_0134,5,ductal
human4_lib1.final_cell_0137,5,ductal
human4_lib1.final_cell_0144,5,ductal
human4_lib1.final_cell_0147,5,ductal
human4_lib1.final_cell_0148,5,ductal
human4_lib1.final_cell_0149,5,ductal
human4_lib1.final_cell_0157,5,ductal
human4_lib1.final_cell_0158,5,ductal
human4_lib1.final_cell_0178,5,ductal
human4_lib1.final_cell_0181,5,ductal
human4_lib1.final_cell_0183,5,ductal
human4_lib1.final_cell_0201,5,ductal
human4_lib1.final_cell_0208,5,ductal
human4_lib1.final_cell_0209,5,ductal
human4_lib1.final_cell_0212,5,ductal
human4_lib1.final_cell_0217,5,ductal
human4_lib1.final_cell_0220,5,ductal
human4_lib1.final_cell_0223,5,ductal
human4_lib1.final_cell_0238,5,ductal
human4_lib1.final_cell_0239,5,ductal
human4_lib1.final_cell_0242,5,ductal
human4_lib1.final_cell_0251,5,ductal
human4_lib1.final_cell_0252,5,ductal
human4_lib1.final_cell_0256,5,ductal
human4_lib1.final_cell_0257,5,ductal
human4_lib1.final_cell_0260,5,ductal
human4_lib1.final_cell_0264,5,ductal
human4_lib1.final_cell_0270,5,ductal
human4_lib1.final_cell_0271,5,ductal
human4_lib1.final_cell_0273,5,ductal
human4_lib1.final_cell_0285,5,ductal
human4_lib1.final_cell_0287,5,ductal
human4_lib1.final_cell_0302,5,ductal
human4_lib1.final_cell_0303,5,ductal
human4_lib1.final_cell_0324,5,ductal
human4_lib1.final_cell_0336,5,ductal
human4_lib1.final_cell_0343,5,ductal
human4_lib1.final_cell_0346,5,ductal
human4_lib1.final_cell_0351,5,ductal
human4_lib1.final_cell_0355,5,ductal
human4_lib1.final_cell_0360,5,ductal
human4_lib1.final_cell_0362,5,ductal
human4_lib1.final_cell_0364,5,ductal
human4_lib1.final_cell_0372,5,ductal
human4_lib1.final_cell_0379,5,ductal
human4_lib1.final_cell_0399,5,ductal
human4_lib1.final_cell_0402,5,ductal
human4_lib1.final_cell_0413,5,ductal
human4_lib1.final_cell_0420,5,ductal
human4_lib1.final_cell_0422,5,ductal
human4_lib1.final_cell_0438,5,ductal
human4_lib1.final_cell_0439,5,ductal
human4_lib1.final_cell_0446,5,ductal
human4_lib1.final_cell_0452,5,ductal
human4_lib1.final_cell_0455,5,ductal
human4_lib1.final_cell_0462,5,ductal
human4_lib1.final_cell_0466,5,ductal
human4_lib1.final_cell_0468,5,ductal
human4_lib1.final_cell_0469,5,ductal
human4_lib1.final_cell_0492,5,ductal
human4_lib1.final_cell_0496,5,ductal
human4_lib1.final_cell_0507,5,ductal
human4_lib1.final_cell_0520,5,ductal
human4_lib1.final_cell_0526,5,ductal
human4_lib1.final_cell_0528,5,ductal
human4_lib1.final_cell_0534,5,ductal
human4_lib1.final_cell_0540,5,ductal
human4_lib1.final_cell_0544,5,ductal
human4_lib1.final_cell_0554,5,ductal
human4_lib1.final_cell_0556,5,ductal
human4_lib1.final_cell_0559,5,ductal
human4_lib1.final_cell_0564,5,ductal
human4_lib1.final_cell_0566,5,ductal
human4_lib1.final_cell_0584,5,ductal
human4_lib1.final_cell_0585,5,ductal
human4_lib1.final_cell_0590,5,ductal
human4_lib1.final_cell_0592,5,ductal
human4_lib1.final_cell_0595,5,ductal
human4_lib1.final_cell_0596,5,ductal
human4_lib1.final_cell_0599,5,ductal
human4_lib1.final_cell_0600,5,ductal
human4_lib1.final_cell_0601,5,ductal
human4_lib1.final_cell_0602,5,ductal
human4_lib3.final_cell_0005,5,ductal
human4_lib3.final_cell_0006,5,ductal
human4_lib3.final_cell_0008,5,ductal
human4_lib3.final_cell_0011,5,ductal
human4_lib3.final_cell_0013,5,ductal
human4_lib3.final_cell_0014,5,ductal
human4_lib3.final_cell_0015,5,ductal
human4_lib3.final_cell_0017,5,ductal
human4_lib3.final_cell_0020,5,ductal
human4_lib3.final_cell_0021,5,ductal
human4_lib3.final_cell_0022,5,ductal
human4_lib3.final_cell_0028,5,ductal
human4_lib3.final_cell_0031,5,ductal
human4_lib3.final_cell_0035,5,ductal
human4_lib3.final_cell_0038,5,ductal
human4_lib3.final_cell_0043,5,ductal
human4_lib3.final_cell_0044,5,ductal
human4_lib3.final_cell_0045,5,ductal
human4_lib3.final_cell_0046,5,ductal
human4_lib3.final_cell_0049,5,ductal
human4_lib3.final_cell_0054,5,ductal
human4_lib3.final_cell_0055,5,ductal
human4_lib3.final_cell_0057,5,ductal
human4_lib3.final_cell_0062,5,ductal
human4_lib3.final_cell_0063,5,ductal
human4_lib3.final_cell_0069,5,ductal
human4_lib3.final_cell_0071,5,ductal
human4_lib3.final_cell_0075,5,ductal
human4_lib3.final_cell_0076,5,ductal
human4_lib3.final_cell_0079,5,ductal
human4_lib3.final_cell_0086,5,ductal
human4_lib3.final_cell_0096,5,ductal
human4_lib3.final_cell_0100,5,ductal
human4_lib3.final_cell_0104,5,ductal
human4_lib3.final_cell_0106,5,ductal
human4_lib3.final_cell_0113,5,ductal
human4_lib3.final_cell_0123,5,ductal
human4_lib3.final_cell_0125,5,ductal
human4_lib3.final_cell_0129,5,ductal
human4_lib3.final_cell_0130,5,ductal
human4_lib3.final_cell_0131,5,ductal
human4_lib3.final_cell_0138,5,ductal
human4_lib3.final_cell_0141,5,ductal
human4_lib3.final_cell_0144,5,ductal
human4_lib3.final_cell_0146,5,ductal
human4_lib3.final_cell_0158,5,ductal
human4_lib3.final_cell_0159,5,ductal
human4_lib3.final_cell_0160,5,ductal
human4_lib3.final_cell_0166,5,ductal
human4_lib3.final_cell_0167,5,ductal
human4_lib3.final_cell_0178,5,ductal
human4_lib3.final_cell_0179,5,ductal
human4_lib3.final_cell_0181,5,ductal
human4_lib3.final_cell_0185,5,ductal
human4_lib3.final_cell_0191,5,ductal
human4_lib3.final_cell_0194,5,ductal
human4_lib3.final_cell_0200,5,ductal
human4_lib3.final_cell_0201,5,ductal
human4_lib3.final_cell_0204,5,ductal
human4_lib3.final_cell_0207,5,ductal
human4_lib3.final_cell_0209,5,ductal
human4_lib3.final_cell_0216,5,ductal
human4_lib3.final_cell_0220,5,ductal
human4_lib3.final_cell_0221,5,ductal
human4_lib3.final_cell_0222,5,ductal
human4_lib3.final_cell_0227,5,ductal
human4_lib3.final_cell_0229,5,ductal
human4_lib3.final_cell_0241,5,ductal
human4_lib3.final_cell_0245,5,ductal
human4_lib3.final_cell_0246,5,ductal
human4_lib3.final_cell_0247,5,ductal
human4_lib3.final_cell_0252,5,ductal
human4_lib3.final_cell_0254,5,ductal
human4_lib3.final_cell_0259,5,ductal
human4_lib3.final_cell_0261,5,ductal
human4_lib3.final_cell_0263,5,ductal
human4_lib3.final_cell_0265,5,ductal
human4_lib3.final_cell_0273,5,ductal
human4_lib3.final_cell_0277,5,ductal
human4_lib3.final_cell_0282,5,ductal
human4_lib3.final_cell_0283,5,ductal
human4_lib3.final_cell_0286,5,ductal
human4_lib3.final_cell_0289,5,ductal
human4_lib3.final_cell_0290,5,ductal
human4_lib3.final_cell_0291,5,ductal
human4_lib3.final_cell_0293,5,ductal
human4_lib3.final_cell_0296,5,ductal
human4_lib3.final_cell_0298,5,ductal
human4_lib3.final_cell_0309,5,ductal
human4_lib3.final_cell_0311,5,ductal
human4_lib3.final_cell_0317,5,ductal
human4_lib3.final_cell_0318,5,ductal
human4_lib3.final_cell_0325,5,ductal
human4_lib3.final_cell_0328,5,ductal
human4_lib3.final_cell_0330,5,ductal
human4_lib3.final_cell_0335,5,ductal
human4_lib3.final_cell_0336,5,ductal
human4_lib3.final_cell_0337,5,ductal
human4_lib3.final_cell_0339,5,ductal
human4_lib3.final_cell_0342,5,ductal
human4_lib3.final_cell_0348,5,ductal
human4_lib3.final_cell_0350,5,ductal
human4_lib3.final_cell_0354,5,ductal
human4_lib3.final_cell_0389,5,ductal
human4_lib3.final_cell_0390,5,ductal
human4_lib3.final_cell_0397,5,ductal
human4_lib3.final_cell_0400,5,ductal
human4_lib3.final_cell_0405,5,ductal
human4_lib3.final_cell_0413,5,ductal
human4_lib3.final_cell_0416,5,ductal
human4_lib3.final_cell_0418,5,ductal
human4_lib3.final_cell_0421,5,ductal
human4_lib3.final_cell_0423,5,ductal
human4_lib3.final_cell_0424,5,ductal
human4_lib3.final_cell_0428,5,ductal
human4_lib3.final_cell_0432,5,ductal
human4_lib3.final_cell_0434,5,ductal
human4_lib3.final_cell_0439,5,ductal
human4_lib3.final_cell_0441,5,ductal
human4_lib3.final_cell_0444,5,ductal
human4_lib3.final_cell_0448,5,ductal
human4_lib3.final_cell_0453,5,ductal
human4_lib3.final_cell_0462,5,ductal
human4_lib3.final_cell_0465,5,ductal
human4_lib3.final_cell_0475,5,ductal
human4_lib3.final_cell_0479,5,ductal
human4_lib3.final_cell_0486,5,ductal
human4_lib3.final_cell_0496,5,ductal
human4_lib3.final_cell_0507,5,ductal
human4_lib3.final_cell_0510,5,ductal
human4_lib3.final_cell_0516,5,ductal
human4_lib3.final_cell_0517,5,ductal
human4_lib3.final_cell_0530,5,ductal
human4_lib3.final_cell_0536,5,ductal
human4_lib3.final_cell_0545,5,ductal
human4_lib3.final_cell_0549,5,ductal
human4_lib3.final_cell_0556,5,ductal
human4_lib3.final_cell_0575,5,ductal
human4_lib3.final_cell_0587,5,ductal
human4_lib3.final_cell_0594,5,ductal
human4_lib3.final_cell_0595,5,ductal
human4_lib3.final_cell_0602,5,ductal
human4_lib3.final_cell_0607,5,ductal
human4_lib3.final_cell_0611,5,ductal
human4_lib3.final_cell_0613,5,ductal
human4_lib3.final_cell_0639,5,ductal
human4_lib3.final_cell_0650,5,ductal
human4_lib3.final_cell_0656,5,ductal
human4_lib3.final_cell_0664,5,ductal
human4_lib3.final_cell_0666,5,ductal
human4_lib3.final_cell_0672,5,ductal
human4_lib3.final_cell_0676,5,ductal
human4_lib3.final_cell_0677,5,ductal
human4_lib3.final_cell_0679,5,ductal
human4_lib3.final_cell_0701,5,ductal
human4_lib1.final_cell_0035,6,macrophage
human4_lib1.final_cell_0096,6,macrophage
human4_lib1.final_cell_0145,6,macrophage
human4_lib1.final_cell_0231,6,macrophage
human4_lib1.final_cell_0295,6,macrophage
human4_lib1.final_cell_0349,6,macrophage
human4_lib1.final_cell_0579,6,macrophage
human4_lib3.final_cell_0064,6,macrophage
human4_lib3.final_cell_0215,6,macrophage
human4_lib3.final_cell_0574,6,macrophage
